Month,Car_Model,Segment,Fuel_Type,Engine_CC,Transmission,Seating_Capacity,Ex_Showroom_Price_Lakh,Units_Sold,Revenue_Crores,Mileage_KMPL,Customer_Rating,Annual_Service_Cost_INR,Warranty_Years,Safety_Rating_Stars
2023-02,Venue,SUV,Diesel,1197,Automatic,5,18.16,13593,24684.89,21.3,3.9,11092,5,5
2024-07,Aura,Sedan,Petrol,1197,Manual,5,20.73,1911,3961.5,19.3,4.4,5069,3,3
2024-11,Exter,SUV,Diesel,1497,Automatic,5,10.55,7739,8164.65,18.9,4,10907,3,5
2024-06,Aura,Sedan,Petrol,999,Manual,5,6.64,6192,4111.49,17.4,3.6,5562,5,4
2024-11,Grand i10 Nios,Hatchback,Petrol,999,Manual,5,7.96,2961,2356.96,19.5,4.1,10194,5,3
2023-10,Aura,Sedan,Petrol,999,Automatic,7,13.87,5983,8298.42,17.2,4.5,10306,5,4
2023-01,Venue,SUV,Diesel,999,Manual,5,21.5,6625,14243.75,20.9,4.5,4762,3,5
2024-04,Creta,SUV,Diesel,1999,Automatic,5,17.25,5967,10293.08,17.9,4.7,9451,5,4
2023-07,Tucson,SUV,Diesel,1497,Manual,5,6.92,5573,3856.52,15.2,4.3,,3,3
2023-11,Tucson,SUV,Diesel,1999,Automatic,5,19.99,1023,2044.98,20.8,3.9,6470,5,4
2024-01,Tucson,SUV,Diesel,1497,Manual,5,15,4713,7069.5,20.9,4.5,4923,5,3
2024-01,Tucson,SUV,Petrol,1197,Automatic,5,22.79,12805,29182.6,21.3,3.7,5521,5,4
2024-05,Tucson,SUV,Diesel,1497,Automatic,5,24.75,6301,15594.98,16.3,4.2,7927,5,4
2024-11,Tucson,SUV,Petrol,1497,Automatic,5,20.37,2174,4428.44,22,3.9,7259,5,4
2024-12,Tucson,SUV,Petrol,1497,Automatic,5,6,13906,8343.6,16.8,4.3,8809,5,3
2024-03,Alcazar,SUV,Petrol,1999,Manual,5,17.2,13689,23545.08,20.7,4.3,6587,5,5
2024-06,Grand i10 Nios,Hatchback,Diesel,1197,Manual,5,23.91,2268,5422.79,15.2,4.8,6136,3,3
2023-12,Verna,Sedan,Petrol,1197,Automatic,5,7.9,6051,4780.29,17.7,4.8,8415,3,5
2023-01,Venue,SUV,Petrol,1197,Manual,5,14.33,8578,12292.27,19,3.7,11420,5,5
2024-07,Verna,Sedan,Petrol,999,Automatic,5,20.68,4659,9634.81,16.7,4.6,6541,5,5
2023-06,Alcazar,SUV,Diesel,1999,Manual,7,6.44,12353,7955.33,19.5,4.6,7318,3,3
2024-01,Creta,SUV,Diesel,1197,Manual,7,7.57,7037,5327.01,21,4.2,6891,5,3
2023-09,Exter,SUV,Diesel,999,Automatic,5,23.51,1634,3841.53,20.2,3.5,6916,5,4
2024-02,Verna,Sedan,Petrol,1497,Manual,5,17.85,9482,16925.37,20.5,4.7,5039,3,3
2023-08,Venue,SUV,Diesel,999,Manual,5,8.5,4232,3597.2,16.6,3.7,7196,5,5
2024-06,i20,Hatchback,Petrol,999,Manual,5,13.07,9922,12968.05,21.8,3.7,11024,5,5
2024-06,Aura,Sedan,Diesel,1197,Automatic,5,21.26,6202,13185.45,16.5,3.9,9714,5,4
2024-09,Alcazar,SUV,Petrol,1197,Automatic,5,9.29,5616,5217.26,19,3.9,6172,3,5
2023-08,Verna,Sedan,Petrol,1999,Automatic,5,9.96,8427,8393.29,15.3,4.2,4263,3,3
2024-08,Tucson,SUV,Petrol,1197,Manual,5,11.87,2647,3141.99,19,4.1,8962,3,4
2024-12,Tucson,SUV,Diesel,1197,Automatic,5,13.79,2557,3526.1,18.7,4.4,4990,5,3
2024-01,Tucson,SUV,Petrol,1497,Automatic,5,16.39,12231,20046.61,20,4.5,6193,5,4
2024-12,Aura,Sedan,Diesel,1197,Automatic,5,8.25,5455,4500.38,15.1,4.6,10175,3,4
2023-11,Tucson,SUV,Petrol,1197,Manual,5,17.15,1576,2702.84,17.1,3.9,4742,5,5
2024-11,Verna,Sedan,Diesel,1197,Automatic,5,22.14,1100,2435.4,15.1,4.5,7606,5,4
2023-02,Exter,SUV,Petrol,1197,Automatic,7,23.24,2300,5345.2,22,4.5,11855,5,3
2023-11,Grand i10 Nios,Hatchback,Diesel,1197,Manual,7,7.69,10719,8242.91,18.4,4,6573,3,4
2024-06,Tucson,SUV,Diesel,1999,Automatic,5,18.17,3316,6025.17,16.2,3.8,11296,5,4
2024-12,Creta,SUV,Petrol,1999,Automatic,5,9.38,12994,12188.37,21.2,3.8,4629,3,4
2024-07,Grand i10 Nios,Hatchback,Petrol,1497,Automatic,5,7.53,12251,9225,16.8,3.6,10129,3,3
2023-04,Verna,Sedan,Petrol,1497,Manual,5,9.87,2182,2153.63,21.5,4.7,7340,5,3
