Month,Car_Model,Segment,Fuel_Type,Engine_CC,Transmission,Seating_Capacity,Ex_Showroom_Price_Lakh,Units_Sold,Revenue_Crores,Mileage_KMPL,Customer_Rating,Annual_Service_Cost_INR,Warranty_Years,Safety_Rating_Stars
2024-08,XUV700,SUV,Petrol,2184,Automatic,7,12.85,8286,10647.51,17.7,3.9,5391,5,4
2023-02,Thar,SUV,Petrol,1497,Automatic,5,23.4,6164,14423.76,18.5,4.1,10527,5,3
2024-09,Bolero,SUV,Diesel,2184,Manual,7,19.79,10737,21248.52,19,4.2,10182,5,5
2024-12,Marazzo,MPV,Petrol,1197,Automatic,5,6.12,3296,,16.4,3.7,10942,3,4
2023-06,KUV100,Hatchback,Diesel,1997,Automatic,7,15.8,2862,4521.96,14.2,3.6,11949,3,
2024-01,XUV300,SUV,Diesel,2184,Manual,5,22.4,7650,17136,17.9,3.7,9753,5,3
2024-02,Marazzo,MPV,Diesel,2184,Automatic,5,10.39,10828,11250.29,15.3,4.2,7783,3,4
2024-01,Scorpio,SUV,Petrol,1997,Manual,5,12.71,12249,15568.48,16,4.1,,3,3
2023-01,XUV700,SUV,Petrol,2184,Automatic,7,17.13,9142,15660.25,16.3,3.6,10734,3,3
2023-07,XUV300,SUV,Diesel,1497,Automatic,5,18.11,10860,19667.46,19.5,4,11615,5,3
2023-04,Scorpio N,SUV,Petrol,1997,Manual,7,22.92,3130,7173.96,16.4,3.9,11598,3,5
2023-02,Marazzo,MPV,Diesel,1197,Automatic,5,18.51,12706,23518.81,18.4,3.6,6388,5,5
2024-01,Scorpio N,SUV,Petrol,1997,Manual,5,12.98,6023,7817.85,16.9,3.8,8707,5,4
2023-06,Marazzo,MPV,Diesel,1197,Automatic,5,18.81,6947,13067.31,15.1,4.1,9951,3,3
2023-05,XUV700,SUV,Diesel,1997,Manual,7,11.86,3729,4422.59,19.4,3.7,10300,3,3
2023-07,Scorpio N,SUV,Petrol,1997,Automatic,5,6.68,8291,5538.39,17.4,4.3,9722,5,5
2024-04,Marazzo,MPV,Diesel,1497,Manual,7,22.43,3942,8841.91,15.3,4.7,11728,3,3
2023-05,Marazzo,MPV,Petrol,1997,Manual,5,12.11,477,577.65,18.8,3.6,11445,5,3
2023-11,Scorpio,SUV,Diesel,2184,Manual,5,15.04,7233,,15.1,3.8,,5,4
2023-05,XUV700,SUV,Diesel,2184,Automatic,7,22.1,2554,5644.34,19.2,4.4,8208,5,4
2024-03,XUV700,SUV,Diesel,1497,Automatic,5,7.16,1700,1217.2,15.8,4.5,9960,5,5
2023-02,XUV300,SUV,Petrol,1497,Manual,5,13.31,8834,11758.05,18,4.3,6873,3,3
2023-04,Scorpio,SUV,Petrol,1197,Automatic,5,24.67,3384,8348.33,15.4,3.8,6208,3,4
2023-11,XUV700,SUV,Diesel,2184,Automatic,5,19.28,11892,22927.78,19.2,4.3,6958,3,4
2024-06,Thar,SUV,Diesel,2184,Manual,5,23.62,8691,20528.14,15.5,4,6926,3,4
2024-06,Marazzo,MPV,Diesel,1997,Manual,5,16.33,5161,8427.91,19.4,3.7,12832,3,3
2023-01,Thar,SUV,Diesel,1197,Automatic,7,21.62,3859,8343.16,14.6,4.6,8797,,3
