Month,Car_Model,Segment,Fuel_Type,Engine_CC,Transmission,Seating_Capacity,Ex_Showroom_Price_Lakh,Units_Sold,Revenue_Crores,Mileage_KMPL,Customer_Rating,Annual_Service_Cost_INR,Warranty_Years,Safety_Rating_Stars
2023-02,Venue,SUV,Diesel,1197,Automatic,5.0,18.16,13593.0,24684.89,21.3,3.9,11092.0,5.0,5.0
2024-07,Aura,Sedan,Petrol,1197,Manual,5.0,20.73,1911.0,3961.5,19.3,4.4,5069.0,3.0,3.0
2024-11,Exter,SUV,Diesel,1497,Automatic,5.0,10.55,7739.0,8164.65,18.9,4.0,10907.0,3.0,5.0
2024-06,Aura,Sedan,Petrol,999,Manual,5.0,6.64,6192.0,4111.49,17.4,3.6,5562.0,5.0,4.0
2024-11,Grand i10 Nios,Hatchback,Petrol,999,Manual,5.0,7.96,2961.0,2356.96,19.5,4.1,10194.0,5.0,3.0
2023-10,Aura,Sedan,Petrol,999,Automatic,7.0,13.87,5983.0,8298.42,17.2,4.5,10306.0,5.0,4.0
2023-01,Venue,SUV,Diesel,999,Manual,5.0,21.5,6625.0,14243.75,20.9,4.5,4762.0,3.0,5.0
2024-04,Creta,SUV,Diesel,1999,Automatic,5.0,17.25,5967.0,10293.08,17.9,4.7,9451.0,5.0,4.0
2023-11,Tucson,SUV,Diesel,1999,Automatic,5.0,19.99,1023.0,2044.98,20.8,3.9,6470.0,5.0,4.0
2024-01,Tucson,SUV,Diesel,1497,Manual,5.0,15.0,4713.0,7069.5,20.9,4.5,4923.0,5.0,3.0
2024-01,Tucson,SUV,Petrol,1197,Automatic,5.0,22.79,12805.0,29182.6,21.3,3.7,5521.0,5.0,4.0
2024-05,Tucson,SUV,Diesel,1497,Automatic,5.0,24.75,6301.0,15594.98,16.3,4.2,7927.0,5.0,4.0
2024-11,Tucson,SUV,Petrol,1497,Automatic,5.0,20.37,2174.0,4428.44,22.0,3.9,7259.0,5.0,4.0
2024-12,Tucson,SUV,Petrol,1497,Automatic,5.0,6.0,13906.0,8343.6,16.8,4.3,8809.0,5.0,3.0
2024-03,Alcazar,SUV,Petrol,1999,Manual,5.0,17.2,13689.0,23545.08,20.7,4.3,6587.0,5.0,5.0
2024-06,Grand i10 Nios,Hatchback,Diesel,1197,Manual,5.0,23.91,2268.0,5422.79,15.2,4.8,6136.0,3.0,3.0
2023-12,Verna,Sedan,Petrol,1197,Automatic,5.0,7.9,6051.0,4780.29,17.7,4.8,8415.0,3.0,5.0
2023-01,Venue,SUV,Petrol,1197,Manual,5.0,14.33,8578.0,12292.27,19.0,3.7,11420.0,5.0,5.0
2024-07,Verna,Sedan,Petrol,999,Automatic,5.0,20.68,4659.0,9634.81,16.7,4.6,6541.0,5.0,5.0
2023-06,Alcazar,SUV,Diesel,1999,Manual,7.0,6.44,12353.0,7955.33,19.5,4.6,7318.0,3.0,3.0
2024-01,Creta,SUV,Diesel,1197,Manual,7.0,7.57,7037.0,5327.01,21.0,4.2,6891.0,5.0,3.0
2023-09,Exter,SUV,Diesel,999,Automatic,5.0,23.51,1634.0,3841.53,20.2,3.5,6916.0,5.0,4.0
2024-02,Verna,Sedan,Petrol,1497,Manual,5.0,17.85,9482.0,16925.37,20.5,4.7,5039.0,3.0,3.0
2023-08,Venue,SUV,Diesel,999,Manual,5.0,8.5,4232.0,3597.2,16.6,3.7,7196.0,5.0,5.0
2024-06,i20,Hatchback,Petrol,999,Manual,5.0,13.07,9922.0,12968.05,21.8,3.7,11024.0,5.0,5.0
2024-06,Aura,Sedan,Diesel,1197,Automatic,5.0,21.26,6202.0,13185.45,16.5,3.9,9714.0,5.0,4.0
2024-09,Alcazar,SUV,Petrol,1197,Automatic,5.0,9.29,5616.0,5217.26,19.0,3.9,6172.0,3.0,5.0
2023-08,Verna,Sedan,Petrol,1999,Automatic,5.0,9.96,8427.0,8393.29,15.3,4.2,4263.0,3.0,3.0
2024-08,Tucson,SUV,Petrol,1197,Manual,5.0,11.87,2647.0,3141.99,19.0,4.1,8962.0,3.0,4.0
2024-12,Tucson,SUV,Diesel,1197,Automatic,5.0,13.79,2557.0,3526.1,18.7,4.4,4990.0,5.0,3.0
2024-01,Tucson,SUV,Petrol,1497,Automatic,5.0,16.39,12231.0,20046.61,20.0,4.5,6193.0,5.0,4.0
2024-12,Aura,Sedan,Diesel,1197,Automatic,5.0,8.25,5455.0,4500.38,15.1,4.6,10175.0,3.0,4.0
2023-11,Tucson,SUV,Petrol,1197,Manual,5.0,17.15,1576.0,2702.84,17.1,3.9,4742.0,5.0,5.0
2024-11,Verna,Sedan,Diesel,1197,Automatic,5.0,22.14,1100.0,2435.4,15.1,4.5,7606.0,5.0,4.0
2023-02,Exter,SUV,Petrol,1197,Automatic,7.0,23.24,2300.0,5345.2,22.0,4.5,11855.0,5.0,3.0
2023-11,Grand i10 Nios,Hatchback,Diesel,1197,Manual,7.0,7.69,10719.0,8242.91,18.4,4.0,6573.0,3.0,4.0
2024-06,Tucson,SUV,Diesel,1999,Automatic,5.0,18.17,3316.0,6025.17,16.2,3.8,11296.0,5.0,4.0
2024-12,Creta,SUV,Petrol,1999,Automatic,5.0,9.38,12994.0,12188.37,21.2,3.8,4629.0,3.0,4.0
2024-07,Grand i10 Nios,Hatchback,Petrol,1497,Automatic,5.0,7.53,12251.0,9225.0,16.8,3.6,10129.0,3.0,3.0
2023-04,Verna,Sedan,Petrol,1497,Manual,5.0,9.87,2182.0,2153.63,21.5,4.7,7340.0,5.0,3.0
2024-02,Grand i10 Nios,Hatchback,Diesel,999,Automatic,7.0,13.91,2946.0,4097.89,19.9,3.8,4391.0,3.0,4.0
2023-05,Exter,SUV,Petrol,1197,Automatic,5.0,7.86,10558.0,8298.59,19.6,4.1,10899.0,3.0,4.0
2023-01,Tucson,SUV,Diesel,1999,Manual,5.0,15.56,7384.0,11489.5,17.3,4.1,9961.0,3.0,4.0
2024-06,Tucson,SUV,Petrol,1497,Automatic,5.0,20.61,8285.0,17075.39,21.8,4.3,9107.0,3.0,3.0
2023-11,Aura,Sedan,Petrol,1999,Manual,7.0,7.09,7627.0,5407.54,18.0,4.0,6494.0,5.0,5.0
2023-04,Venue,SUV,Diesel,1999,Automatic,7.0,10.99,4836.0,5314.76,16.3,3.6,9035.0,5.0,5.0
2024-05,Tucson,SUV,Petrol,1197,Manual,7.0,16.15,13109.0,21171.03,18.5,4.5,6314.0,3.0,3.0
2024-09,Grand i10 Nios,Hatchback,Diesel,1497,Automatic,5.0,12.26,2703.0,3313.88,15.6,3.7,7531.0,5.0,3.0
2023-01,Verna,Sedan,Diesel,1999,Manual,5.0,18.44,1026.0,1891.94,15.5,4.1,7727.0,5.0,4.0
