Month,Car_Model,Segment,Fuel_Type,Engine_CC,Transmission,Seating_Capacity,Ex_Showroom_Price_Lakh,Units_Sold,Revenue_Crores,Mileage_KMPL,Customer_Rating,Annual_Service_Cost_INR,Warranty_Years,Safety_Rating_Stars
2024-08,XUV700,SUV,Petrol,2184,Automatic,7.0,12.85,8286.0,10647.51,17.7,3.9,5391.0,5.0,4.0
2023-02,Thar,SUV,Petrol,1497,Automatic,5.0,23.4,6164.0,14423.76,18.5,4.1,10527.0,5.0,3.0
2024-09,Bolero,SUV,Diesel,2184,Manual,7.0,19.79,10737.0,21248.52,19.0,4.2,10182.0,5.0,5.0
2024-01,XUV300,SUV,Diesel,2184,Manual,5.0,22.4,7650.0,17136.0,17.9,3.7,9753.0,5.0,3.0
2024-02,Marazzo,MPV,Diesel,2184,Automatic,5.0,10.39,10828.0,11250.29,15.3,4.2,7783.0,3.0,4.0
2023-01,XUV700,SUV,Petrol,2184,Automatic,7.0,17.13,9142.0,15660.25,16.3,3.6,10734.0,3.0,3.0
2023-07,XUV300,SUV,Diesel,1497,Automatic,5.0,18.11,10860.0,19667.46,19.5,4.0,11615.0,5.0,3.0
2023-04,Scorpio N,SUV,Petrol,1997,Manual,7.0,22.92,3130.0,7173.96,16.4,3.9,11598.0,3.0,5.0
2023-02,Marazzo,MPV,Diesel,1197,Automatic,5.0,18.51,12706.0,23518.81,18.4,3.6,6388.0,5.0,5.0
2024-01,Scorpio N,SUV,Petrol,1997,Manual,5.0,12.98,6023.0,7817.85,16.9,3.8,8707.0,5.0,4.0
2023-06,Marazzo,MPV,Diesel,1197,Automatic,5.0,18.81,6947.0,13067.31,15.1,4.1,9951.0,3.0,3.0
2023-05,XUV700,SUV,Diesel,1997,Manual,7.0,11.86,3729.0,4422.59,19.4,3.7,10300.0,3.0,3.0
2023-07,Scorpio N,SUV,Petrol,1997,Automatic,5.0,6.68,8291.0,5538.39,17.4,4.3,9722.0,5.0,5.0
2024-04,Marazzo,MPV,Diesel,1497,Manual,7.0,22.43,3942.0,8841.91,15.3,4.7,11728.0,3.0,3.0
2023-05,Marazzo,MPV,Petrol,1997,Manual,5.0,12.11,477.0,577.65,18.8,3.6,11445.0,5.0,3.0
2023-05,XUV700,SUV,Diesel,2184,Automatic,7.0,22.1,2554.0,5644.34,19.2,4.4,8208.0,5.0,4.0
2024-03,XUV700,SUV,Diesel,1497,Automatic,5.0,7.16,1700.0,1217.2,15.8,4.5,9960.0,5.0,5.0
2023-02,XUV300,SUV,Petrol,1497,Manual,5.0,13.31,8834.0,11758.05,18.0,4.3,6873.0,3.0,3.0
2023-04,Scorpio,SUV,Petrol,1197,Automatic,5.0,24.67,3384.0,8348.33,15.4,3.8,6208.0,3.0,4.0
