Month,Car_Model,Segment,Fuel_Type,Transmission,Ex_Showroom_Price_Lakh,Units_Sold,Revenue_Crores,Mileage_KMPL,Customer_Rating,Annual_Service_Cost_INR,Safety_Rating_Stars
2020-01,Alto K10,Hatchback,Petrol,Manual,4.54,7623.0,346.08,24.54,5.0,12566.0,3.0
2020-01,Baleno,Hatchback,Petrol,Manual/AMT,7.61,7583.0,577.07,23.34,4.0,8357.0,5.0
2020-01,Brezza,SUV,Petrol/CNG,Manual/AT,8.1,5743.0,465.18,19.4,4.4,12557.0,5.0
2020-01,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.28,8014.0,423.14,25.83,4.3,8107.0,3.0
2020-01,Ciaz,Sedan,Petrol,Manual,8.76,3898.0,341.46,20.43,5.0,11131.0,5.0
2020-01,Dzire,Sedan,Petrol,Manual/AMT,6.73,4011.0,269.94,22.64,4.5,11623.0,4.0
2020-01,Eeco,MPV,Petrol/CNG,Manual,5.4,4358.0,235.33,19.09,3.9,10381.0,4.0
2020-01,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,8.49,5990.0,508.55,21.91,4.7,6589.0,4.0
2020-01,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,10.44,6724.0,701.99,21.86,3.8,9969.0,5.0
2020-01,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.7,8931.0,419.76,25.21,5.0,11413.0,4.0
2020-01,Swift,Hatchback,Petrol,Manual/AMT,7.08,7940.0,562.15,22.85,3.9,6160.0,3.0
2020-01,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.35,7475.0,399.91,24.09,4.4,10374.0,3.0
2020-02,Alto K10,Hatchback,Petrol,Manual,4.41,7556.0,333.22,23.57,4.1,9287.0,3.0
2020-02,Baleno,Hatchback,Petrol,Manual/AMT,7.45,9304.0,693.15,23.18,4.2,7058.0,5.0
2020-02,Brezza,SUV,Petrol/CNG,Manual/AT,9.63,7517.0,723.89,19.88,4.4,11915.0,5.0
2020-02,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.51,8451.0,465.65,26.15,4.8,11695.0,3.0
2020-02,Eeco,MPV,Petrol/CNG,Manual,5.28,4348.0,229.57,20.47,3.7,5624.0,4.0
2020-02,Ertiga,MPV,Petrol/CNG,Manual/AT,9.72,4172.0,405.52,20.79,4.9,10444.0,5.0
2020-02,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,11.18,7390.0,826.2,21.33,4.6,8052.0,5.0
2020-02,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,4.92,7358.0,362.01,25.88,4.6,10889.0,4.0
2020-02,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.58,8710.0,486.02,23.51,5.0,8084.0,3.0
2020-03,Alto K10,Hatchback,Petrol,Manual,4.2,6669.0,280.1,24.03,4.7,9917.0,3.0
2020-03,Baleno,Hatchback,Petrol,Manual/AMT,7.44,7280.0,541.63,23.17,4.7,10047.0,5.0
2020-03,Brezza,SUV,Petrol/CNG,Manual/AT,10.51,6690.0,703.12,19.18,3.9,10666.0,5.0
2020-03,Celerio,Hatchback,Petrol/CNG,Manual/AMT,6.25,8318.0,519.88,27.42,4.4,9408.0,3.0
2020-03,Dzire,Sedan,Petrol,Manual/AMT,6.57,3811.0,250.38,23.92,5.0,10320.0,4.0
2020-03,Eeco,MPV,Petrol/CNG,Manual,5.29,4611.0,243.92,20.01,3.9,4606.0,4.0
2020-03,Ertiga,MPV,Petrol/CNG,Manual/AT,9.72,3827.0,371.98,20.82,3.9,14701.0,5.0
2020-03,Fronx,SUV,Petrol/CNG,Manual/AMT/AT,8.76,5745.0,503.26,22.62,4.5,13160.0,4.0
2020-03,Grand Vitara,SUV,Petrol/Strong Hybrid,Manual/AT,13.88,5248.0,728.42,20.76,4.1,14218.0,5.0
2020-03,S-Presso,Hatchback,Petrol/CNG,Manual/AMT,3.71,7222.0,267.94,25.06,3.8,10583.0,4.0
2020-03,Swift,Hatchback,Petrol,Manual/AMT,7.29,9062.0,660.62,23.09,4.3,11179.0,3.0
2020-03,WagonR,Hatchback,Petrol/CNG,Manual/AMT,5.63,7413.0,417.35,23.68,4.1,13294.0,3.0
2020-03,XL6,MPV,Petrol/CNG,Manual/AT,11.05,5313.0,587.09,19.95,4.2,9454.0,5.0
2020-04,Brezza,SUV,Petrol/CNG,Manual/AT,8.87,5744.0,509.49,20.44,4.5,12183.0,5.0
2020-04,Celerio,Hatchback,Petrol/CNG,Manual/AMT,5.19,8304.0,430.98,26.59,4.9,8250.0,3.0
